input	output
xin chào	xin chào, tôi có thể giúp gì cho bạn?
chào	xin chào, tôi có thể giúp gì cho bạn?
tôi có thể hỏi bạn vài điều không	Chắc chắn rồi, tôi rất vui khi làm điều đó
tôi có thể hỏi bạn vài điều không	điều đó là chắc chắn,tôi có thể giúp gì cho bạn.
tôi có thể hỏi bạn vài điều không	Tôi rất vui khi làm điều đó.
tôi có thể hỏi bạn vài điều không	Tất nhiên rồi, tôi có thể giúp gì cho bạn nhỉ?
tôi có thể hỏi bạn vài điều không?	Chắc chắn rồi, tôi rất vui khi làm điều đó
tôi có thể hỏi bạn vài điều không?	điều đó là chắc chắn,tôi có thể giúp gì cho bạn.
tôi có thể hỏi bạn vài điều không?	Tôi rất vui khi làm điều đó.
tôi có thể hỏi bạn vài điều không?	Tất nhiên rồi, tôi có thể giúp gì cho bạn nhỉ?
tôi có thể hỏi bạn vài thứ không?	Chắc chắn rồi, tôi rất vui khi làm điều đó
tôi có thể hỏi bạn vài thứ không?	điều đó là chắc chắn,tôi có thể giúp gì cho bạn.
tôi có thể hỏi bạn vài thứ không?	Tôi rất vui khi làm điều đó.
tôi có thể hỏi bạn vài thứ không?	Tất nhiên rồi, tôi có thể giúp gì cho bạn nhỉ?
tôi có thể hỏi bạn không?	Chắc chắn rồi, tôi rất vui khi làm điều đó
tôi có thể hỏi bạn không?	điều đó là chắc chắn,tôi có thể giúp gì cho bạn.
tôi có thể hỏi bạn không?	Tôi rất vui khi làm điều đó.
tôi có thể hỏi bạn không?	Tất nhiên rồi, tôi có thể giúp gì cho bạn nhỉ?
tôi có thể hỏi bạn vài thứ không	Chắc chắn rồi, tôi rất vui khi làm điều đó
tôi có thể hỏi bạn vài thứ không	điều đó là chắc chắn,tôi có thể giúp gì cho bạn.
tôi có thể hỏi bạn vài thứ không	Tôi rất vui khi làm điều đó.
tôi có thể hỏi bạn vài thứ không	Tất nhiên rồi, tôi có thể giúp gì cho bạn nhỉ?
tôi có thể hỏi bạn không	Chắc chắn rồi, tôi rất vui khi làm điều đó
tôi có thể hỏi bạn không	điều đó là chắc chắn,tôi có thể giúp gì cho bạn.
tôi có thể hỏi bạn không	Tôi rất vui khi làm điều đó.
tôi có thể hỏi bạn không	Tất nhiên rồi, tôi có thể giúp gì cho bạn nhỉ?
tôi có thể hỏi bạn được không?	Chắc chắn rồi, tôi rất vui khi làm điều đó
tôi có thể hỏi bạn được không?	điều đó là chắc chắn,tôi có thể giúp gì cho bạn.
tôi có thể hỏi bạn được không?	Tôi rất vui khi làm điều đó.
tôi có thể hỏi bạn được không?	Tất nhiên rồi, tôi có thể giúp gì cho bạn nhỉ?
tôi có thể hỏi bạn tí được không?	Chắc chắn rồi, tôi rất vui khi làm điều đó
